Name,Imagesize (mb),Processing,Disk,Memory,Network,Combined
BusyBox,1.23,0.7761,0.2437,0.6688,0.0392,1.7278
Alpine,5.61,2.0417,0.7538,0.6092,0.1161,3.5208
Ubuntu,72.9,1.3080,6.9778,0.7021,0.0512,9.0391
Redis,105,1.1964,9.7554,0.5987,0.8785,12.429
Mongo,449,1.8270,35.1614,0.5713,0.8983,38.458
WordPress,550,2.6421,46.7831,0.78045,0.6732,50.87885
MySQL,556,1.0584,40.7459,0.6070,0.3284,42.7397
Python3,885,14.2547,61.6050,3.1039,2.4352,81.3988
Node,936,0.9029,87.8021,0.8826,1.234,90.8216
